game_index,ai_color,result,plies,sf_depth,ai_depth,ai_nodes,ai_time_ms,ai_nps,tt_probes,tt_hits,tt_hit_rate,tt_stores,beta_cutoffs,first_move_cutoffs,avg_branch,killer_uses,history_uses,ai_moves,sf_time_ms,game_wall_ms,did_castle,did_en_passant,did_promotion
1,white,Draw (Three-Fold Repetetion),178,4,4,95746,548338.1,175,95746,13297,13.9,82896,81474,52042,32.00,12079,12828,89,90.4,548487.2,True,False,True
2,black,Draw (Three-Fold Repetetion),91,4,4,85416,544348.2,157,85416,9812,11.5,75788,76820,57374,34.02,12442,12952,45,96.2,544495.1,True,False,False
3,white,Draw (Three-Fold Repetetion),77,4,4,73903,518990.0,142,73903,10002,13.5,64046,65203,48985,38.25,3135,3265,39,45.0,519066.2,True,False,False
4,black,Draw (Three-Fold Repetetion),61,4,4,44760,325409.0,138,44760,3929,8.8,41173,37651,27364,37.46,2255,2344,30,32.5,325465.7,False,False,False
5,white,stockfish,164,4,4,78298,414480.7,189,78298,8368,10.7,70152,65948,47651,26.88,16595,17279,82,75.3,414605.6,True,False,True
6,black,Draw (Three-Fold Repetetion),90,4,4,71558,538135.9,133,71558,7030,9.8,64719,61210,45949,39.55,5716,5963,45,58.1,538230.1,True,False,False
7,white,ai,105,4,4,86114,585820.0,147,86114,11334,13.2,74812,77523,59728,32.30,15303,15850,53,63.5,585923.1,True,False,False
8,black,Draw (Three-Fold Repetetion),258,4,4,128837,890704.4,145,128837,21191,16.4,108028,109666,77876,29.26,14952,15770,129,173.1,891002.6,True,False,False
9,white,Draw (Three-Fold Repetetion),123,4,4,153283,1304735.1,117,153283,16320,10.6,137250,137361,102037,31.56,40396,41345,62,76.5,1304870.3,True,False,False
10,black,Draw (Three-Fold Repetetion),83,4,4,100041,741985.2,135,100041,15191,15.2,85390,88623,55291,40.27,5038,5100,41,56.9,742078.3,True,False,False
11,white,Draw (Three-Fold Repetetion),129,4,4,77022,550458.1,140,77022,9435,12.2,67940,66058,47715,33.46,6041,6235,65,105.2,550614.2,False,False,False
