game_index,ai_color,result,plies,sf_depth,ai_depth,ai_nodes,ai_time_ms,ai_nps,tt_probes,tt_hits,tt_hit_rate,tt_stores,beta_cutoffs,first_move_cutoffs,avg_branch,killer_uses,history_uses,ai_moves,sf_time_ms,game_wall_ms,did_castle,did_en_passant,did_promotion
1,white,stockfish,76,2,2,1000,11172.9,90,1000,0,0,1000,831,565,37.44,1,1,38,21.8,11219.6,TRUE,FALSE,FALSE
2,black,Draw (Three-Fold Repetetion),153,2,2,1271,10092.7,126,1271,0,0,1271,983,753,35.74,214,214,76,37.8,10174.9,TRUE,FALSE,TRUE
3,white,Draw (Three-Fold Repetetion),70,2,2,1004,6673.8,150,1004,0,0,1004,851,644,31.41,227,228,35,16.9,6710.8,TRUE,FALSE,FALSE
4,black,Draw (Three-Fold Repetetion),54,2,2,908,9412.1,96,908,0,0,907,741,543,39.89,83,83,27,14.2,9450.2,FALSE,FALSE,FALSE
1,white,Draw (Three-Fold Repetetion),40,2,2,426,6182.6,69,426,0,0,426,356,256,39.77,51,51,20,13.3,6210.5,TRUE,FALSE,FALSE
2,black,stockfish,75,2,2,976,7410,132,976,0,0,976,808,561,39.01,83,83,37,19.6,7451.7,TRUE,TRUE,FALSE
3,white,Draw (Three-Fold Repetetion),66,2,2,1109,7843.5,141,1109,0,0,1109,952,639,33.98,70,70,33,17.1,7880.6,TRUE,FALSE,FALSE
4,black,Draw (Three-Fold Repetetion),84,2,2,1018,7358,138,1018,0,0,1017,855,526,40.45,88,88,42,21.4,7405.6,TRUE,FALSE,TRUE
5,white,stockfish,88,2,2,1150,8557.1,134,1150,0,0,1146,923,649,33.62,218,219,44,22.6,8605.8,FALSE,FALSE,TRUE
1,white,Draw (Three-Fold Repetetion),87,2,2,737,9131.5,81,737,0,0,736,601,433,36.64,85,85,44,23.4,9184.9,FALSE,FALSE,FALSE
2,black,stockfish,87,2,2,1150,8292.9,139,1150,0,0,1145,945,735,36.26,105,105,43,23,8341.6,FALSE,TRUE,FALSE
3,white,stockfish,60,2,2,797,5549.1,144,797,0,0,797,677,441,34.39,111,111,30,15.4,5581.1,TRUE,FALSE,FALSE
4,black,stockfish,31,2,2,222,1612.9,138,222,0,0,222,192,133,32.04,0,0,15,7.6,1630.3,FALSE,FALSE,FALSE
5,white,Draw (Three-Fold Repetetion),99,2,2,1161,8975.4,129,1161,0,0,1160,932,705,36.04,183,183,50,23.6,9028.8,TRUE,FALSE,FALSE
6,black,stockfish,65,2,2,898,8006.1,112,898,0,0,896,765,505,36.16,112,113,32,18.3,8047.8,FALSE,FALSE,FALSE
7,white,Draw (Three-Fold Repetetion),68,2,2,1093,7485.7,146,1093,0,0,1093,959,817,30.77,201,201,34,16.4,7522.2,TRUE,FALSE,FALSE
8,black,stockfish,35,2,2,246,1729,142,246,0,0,246,201,139,32.45,0,0,17,7.9,1747.8,FALSE,FALSE,FALSE
9,white,stockfish,50,2,2,731,5270.1,139,731,0,0,731,628,384,35.31,3,3,25,12.9,5299,FALSE,FALSE,FALSE
10,black,stockfish,41,2,2,566,4586,123,566,0,0,566,489,309,43.72,25,25,20,11.1,4609.9,TRUE,FALSE,TRUE
11,white,Draw (Three-Fold Repetetion),83,2,2,1440,10135.9,142,1440,0,0,1439,1279,1076,36.92,138,139,42,20.1,10180.2,TRUE,FALSE,FALSE
12,black,Draw (Three-Fold Repetetion),102,2,2,1626,11621.4,140,1626,0,0,1620,1372,1028,37.51,362,363,51,28.6,11683,TRUE,FALSE,FALSE
13,white,Draw (Three-Fold Repetetion),58,2,2,663,4595.8,144,663,0,0,659,548,446,32.72,73,73,29,15.5,4629.3,TRUE,FALSE,FALSE
14,black,Draw (Three-Fold Repetetion),52,2,2,1002,6894.7,145,1002,0,0,1001,852,504,38.49,145,145,26,12.3,6923.4,TRUE,FALSE,FALSE
15,white,Draw (Three-Fold Repetetion),96,2,2,910,6389,142,910,0,0,907,724,538,36.12,23,24,48,26,6448,FALSE,FALSE,FALSE
16,black,stockfish,31,2,2,257,1610.9,160,257,0,0,257,212,153,31.59,0,0,15,6.8,1627.4,FALSE,FALSE,FALSE
17,white,stockfish,40,2,2,432,3110.2,139,432,0,0,432,377,271,34.16,1,1,20,10.9,3133.7,TRUE,FALSE,FALSE
18,black,Draw (Three-Fold Repetetion),139,2,2,1575,12039.5,131,1575,0,0,1575,1293,937,35.45,211,211,69,33.5,12115.1,TRUE,FALSE,FALSE
19,white,Draw (Three-Fold Repetetion),118,2,2,1153,9252.5,125,1153,0,0,1153,933,716,35.14,122,123,59,29.2,9324.1,FALSE,FALSE,FALSE
20,black,stockfish,35,2,2,241,1802,134,241,0,0,241,201,134,31.8,0,0,17,7.9,1821.2,FALSE,FALSE,FALSE
21,white,Draw (Three-Fold Repetetion),58,2,2,775,6154.4,126,775,0,0,775,667,555,36.52,92,92,29,13.7,6186.9,FALSE,FALSE,FALSE
22,black,Draw (Three-Fold Repetetion),107,2,2,1792,12305.9,146,1792,0,0,1792,1524,1153,35.54,365,365,53,25.7,12363.9,TRUE,FALSE,FALSE
