game_index,ai_color,result,plies,sf_depth,ai_depth,ai_nodes,ai_time_ms,ai_nps,tt_probes,tt_hits,tt_hit_rate,tt_stores,beta_cutoffs,first_move_cutoffs,avg_branch,killer_uses,history_uses,ai_moves,sf_time_ms,game_wall_ms,did_castle,did_en_passant,did_promotion
1,white,Draw (Three-Fold Repetetion),109,2,4,94965,828543.5,115,94965,12270,12.9,82895,83609,60844,35.64,6349,6501,55,81.9,828678.5,TRUE,FALSE,TRUE
2,black,Draw (Three-Fold Repetetion),122,2,4,66022,500985.5,132,66022,6953,10.5,59298,54215,36617,29.79,10949,11476,61,59.5,501101.2,TRUE,FALSE,TRUE
3,white,Draw (Three-Fold Repetetion),119,2,4,101270,783554.2,129,101270,11384,11.2,90181,88634,67003,34.7,22131,22691,60,64.1,783671.4,TRUE,FALSE,FALSE
4,black,Draw (Three-Fold Repetetion),140,2,4,102354,738832.9,139,102354,11401,11.1,91452,86579,59504,33.63,15166,15980,70,89.6,738982.5,TRUE,FALSE,FALSE
5,white,Draw (Three-Fold Repetetion),121,2,4,60532,495265.9,122,60532,6171,10.2,54582,50921,35269,36.47,9918,10302,61,68.1,495383,TRUE,FALSE,TRUE
6,black,Draw (Three-Fold Repetetion),49,2,4,48421,372464.7,130,48421,5419,11.2,43199,42099,29017,34.04,4277,4435,24,34.9,372523.3,TRUE,TRUE,FALSE
7,white,Draw (Three-Fold Repetetion),140,2,4,115076,758861.4,152,115076,16441,14.3,98880,101602,72836,36.5,9461,9737,70,74.3,758994.9,FALSE,FALSE,TRUE
8,black,Draw (Three-Fold Repetetion),51,2,4,63230,501226.2,126,63230,7442,11.8,55986,56913,40477,33.51,12425,12727,25,23.8,501273.2,FALSE,FALSE,FALSE
9,white,Draw (Three-Fold Repetetion),107,2,4,96447,606574.4,159,96447,11503,11.9,85182,84164,62280,34.21,15170,15614,54,39.1,606653.9,TRUE,FALSE,FALSE
10,black,Draw (Three-Fold Repetetion),77,2,4,68418,431861.3,158,68418,8791,12.8,59809,58823,41047,32.17,10217,10547,38,30.2,431921.2,TRUE,FALSE,FALSE
11,white,Draw (Three-Fold Repetetion),102,2,4,84190,723238.5,116,84190,7796,9.3,76607,72594,51775,34.29,9718,10074,51,41.3,723326.8,TRUE,FALSE,FALSE
12,black,Draw (Three-Fold Repetetion),71,2,4,58915,478979.1,123,58915,6384,10.8,52717,51012,37055,30.57,7798,8013,35,30.6,479044.4,TRUE,FALSE,FALSE
13,white,Draw (Three-Fold Repetetion),86,2,4,103066,891672.4,116,103066,11035,10.7,92441,89482,62788,37.65,5146,5286,43,46.3,891760.8,TRUE,FALSE,FALSE
14,black,Draw (Three-Fold Repetetion),107,2,4,95680,739913.3,129,95680,11696,12.2,84229,82199,55400,33.61,15009,15576,53,53.5,740012.7,TRUE,FALSE,FALSE
15,white,Draw (Three-Fold Repetetion),183,2,4,58845,504493.2,117,58845,7147,12.1,51825,48360,36924,31.01,6014,6322,92,75.7,504651,TRUE,FALSE,FALSE
16,black,Draw (Three-Fold Repetetion),67,2,4,53040,458912,116,53040,4308,8.1,48817,44551,30902,36.46,4916,5080,33,36.8,458980.9,TRUE,FALSE,FALSE
17,white,Draw (Three-Fold Repetetion),66,2,4,89626,697496.1,128,89626,10391,11.6,79327,79403,62080,37.58,3043,3176,33,33.1,697562.1,TRUE,FALSE,FALSE
18,black,ai,158,2,4,109546,707733.1,155,109546,18945,17.3,90977,94862,63772,29.26,21451,23059,79,72.1,707863.8,TRUE,FALSE,TRUE
19,white,stockfish,210,2,4,113362,687062.6,165,113362,17027,15,96868,94813,57215,33.56,18392,19577,105,95.4,687238.4,TRUE,FALSE,TRUE
20,black,Draw (Three-Fold Repetetion),104,2,4,80214,706022.2,114,80214,9225,11.5,71116,69523,51150,38.37,8598,8897,52,46.5,706113.7,TRUE,FALSE,FALSE
21,white,Draw (Three-Fold Repetetion),58,2,4,65546,558510.2,117,65546,6270,9.6,59402,59251,44919,37.95,2809,2869,29,28.5,558565.8,TRUE,FALSE,FALSE
