game_index,ai_color,result,plies,sf_depth,ai_depth,ai_nodes,ai_time_ms,ai_nps,tt_probes,tt_hits,tt_hit_rate,tt_stores,beta_cutoffs,first_move_cutoffs,avg_branch,killer_uses,history_uses,ai_moves,sf_time_ms,game_wall_ms,did_castle,did_en_passant,did_promotion
11,white,Draw (Three-Fold Repetetion),165,2,3,10718,78296.8,137,10718,0,0,10699,8022,6827,22.16,986,1010,83,47.5,78405.4,TRUE,FALSE,FALSE
12,black,Draw (Three-Fold Repetetion),31,2,3,3625,32468.2,112,3625,1,0,3623,2721,1781,37.97,366,371,15,9.1,32490,TRUE,FALSE,FALSE
13,white,ai,59,2,3,5190,26095.1,199,5190,7,0.1,5176,3770,2420,33.06,492,499,30,16.3,26135.2,FALSE,FALSE,FALSE
14,black,stockfish,69,2,3,6868,62834,109,6868,0,0,6864,5190,3744,34.88,176,178,34,21.3,62884.7,TRUE,FALSE,FALSE
15,white,stockfish,80,2,3,6767,55281.2,122,6767,2,0,6760,4817,3589,32.63,236,241,40,23.2,55332.8,TRUE,FALSE,FALSE
16,black,ai,28,2,3,2727,37520.4,73,2727,2,0.1,2720,1797,1369,35.9,108,111,14,8.3,37541.5,FALSE,FALSE,FALSE
17,white,stockfish,108,2,3,10786,88944.9,121,10786,6,0.1,10772,7982,5601,29.4,993,1000,54,32.8,89018.2,FALSE,FALSE,TRUE
18,black,Draw (Three-Fold Repetetion),100,2,3,8231,80658.1,102,8231,0,0,8226,5815,3672,33.63,832,838,50,34.7,80731.6,TRUE,FALSE,TRUE
19,white,stockfish,88,2,3,9064,75762.9,120,9064,5,0.1,9050,6668,4642,29.42,1170,1177,44,27.1,75822.8,FALSE,FALSE,TRUE
20,black,Draw (Three-Fold Repetetion),91,2,3,5703,39894,143,5703,7,0.1,5693,4013,3067,23.07,954,961,45,27.5,39952.3,FALSE,FALSE,FALSE
21,white,Draw (Three-Fold Repetetion),58,2,3,6938,61671.5,112,6938,3,0,6931,5063,3214,33.55,436,438,29,18.2,61710.8,FALSE,TRUE,FALSE
22,black,Draw (Three-Fold Repetetion),131,2,3,11685,76951,152,11685,19,0.2,11659,8725,7252,25.42,953,964,65,37.5,77036,TRUE,FALSE,FALSE
23,white,Draw (Three-Fold Repetetion),100,2,3,11193,87148.7,128,11193,7,0.1,11182,8407,6312,33.1,614,616,50,30.2,87215.1,TRUE,FALSE,FALSE
24,black,Draw (Three-Fold Repetetion),79,2,3,7507,58200.5,129,7507,14,0.2,7485,5589,4147,29.04,1052,1056,39,27.2,58261,TRUE,FALSE,TRUE
25,white,Draw (Three-Fold Repetetion),103,2,3,6230,44512,140,6230,2,0,6216,4433,3650,23.19,1243,1250,52,35.6,44584.9,FALSE,FALSE,FALSE
26,black,Draw (Three-Fold Repetetion),61,2,3,5548,47859.2,116,5548,16,0.3,5527,4323,3163,27.27,244,248,30,20.6,47904.3,FALSE,FALSE,TRUE
27,white,Draw (Three-Fold Repetetion),90,2,3,8788,89195.6,99,8788,15,0.2,8767,6397,4736,32.12,468,468,45,31.7,89267.6,TRUE,FALSE,FALSE
28,black,Draw (Three-Fold Repetetion),67,2,3,6555,66994.1,98,6555,2,0,6548,5018,3693,34.62,195,195,33,30.2,67056.4,TRUE,FALSE,FALSE
29,white,ai,39,2,3,4492,49038.8,92,4492,0,0,4487,3460,2492,34.51,231,238,20,14.8,49072.5,FALSE,FALSE,FALSE
30,black,Draw (Three-Fold Repetetion),103,2,3,11478,96165.4,119,11478,5,0,11468,8923,7251,29.51,536,548,51,38.4,96246.2,TRUE,FALSE,FALSE
31,white,stockfish,78,2,3,9055,75234.8,120,9055,5,0.1,9045,6663,4782,30.3,887,889,39,25.3,75290.4,FALSE,FALSE,TRUE
32,black,stockfish,43,2,3,3416,32321.4,106,3416,0,0,3410,2316,1620,36.31,85,86,21,15.2,32354.3,TRUE,TRUE,FALSE
33,white,Draw (Three-Fold Repetetion),91,2,3,9505,78985.6,120,9505,0,0,9497,7381,6192,31.25,609,615,46,29.3,79053.1,TRUE,FALSE,TRUE
34,black,Draw (Three-Fold Repetetion),110,2,3,8806,74643.8,118,8806,1,0,8801,6619,5657,26.71,784,798,55,33.2,74723.1,TRUE,FALSE,FALSE
35,white,ai,19,2,3,1187,11088.4,107,1187,1,0.1,1181,784,487,31.82,53,54,10,5.3,11101.1,TRUE,FALSE,FALSE
36,black,Draw (Three-Fold Repetetion),93,2,3,9940,83992.2,118,9940,0,0,9937,7495,5293,32.55,297,302,46,29.6,84057.2,FALSE,FALSE,TRUE
37,white,Draw (Three-Fold Repetetion),102,2,3,8913,71544.4,125,8913,6,0.1,8897,6750,5771,26.13,542,542,51,32.9,71616.8,TRUE,FALSE,TRUE
38,black,stockfish,59,2,3,4737,45798.4,103,4737,8,0.2,4725,3382,2496,30.26,245,246,29,18.5,45842.7,TRUE,FALSE,FALSE
39,white,Draw (Three-Fold Repetetion),77,2,3,7136,62020.4,115,7136,4,0.1,7128,5255,3797,31.38,687,690,39,21.1,62071.5,FALSE,FALSE,FALSE
40,black,Draw (Three-Fold Repetetion),75,2,3,8022,62643.5,128,8022,10,0.1,7999,5937,4795,28.93,140,140,37,25.5,62704.5,TRUE,FALSE,FALSE
41,white,stockfish,82,2,3,8221,68496.6,120,8221,8,0.1,8204,6254,4728,30.14,677,678,41,28.9,68559.3,FALSE,FALSE,TRUE
42,black,stockfish,113,2,3,11634,92574.5,126,11634,2,0,11580,8948,6632,30.29,669,680,56,37.6,92653.4,FALSE,FALSE,TRUE
43,white,Draw (Three-Fold Repetetion),96,2,3,10093,89154.1,113,10093,16,0.2,10067,7766,5169,28.7,465,470,48,33.4,89227.9,TRUE,FALSE,TRUE
44,black,Draw (Three-Fold Repetetion),85,2,3,10497,94171.3,111,10497,19,0.2,10476,7753,5174,33.75,421,429,42,29.3,94236.2,TRUE,FALSE,FALSE
45,white,Draw (Three-Fold Repetetion),137,2,3,9876,64876.4,152,9876,2,0,9868,7443,6253,24.36,1987,1995,69,39.6,64961.5,TRUE,FALSE,TRUE
46,black,Draw (Three-Fold Repetetion),85,2,3,8523,56553.5,151,8523,6,0.1,8457,6791,5187,25.2,694,698,42,25.9,56609.6,TRUE,FALSE,FALSE
47,white,Draw (Three-Fold Repetetion),84,2,3,7850,61715,127,7850,5,0.1,7833,5759,4570,28.48,893,897,42,27.5,61773.5,TRUE,FALSE,FALSE
48,black,stockfish,67,2,3,6994,56954.6,123,6994,0,0,6987,4981,3976,33.31,272,274,33,22.9,57004.8,TRUE,FALSE,FALSE
49,white,Draw (Three-Fold Repetetion),107,2,3,10187,93408.7,109,10187,2,0,10179,7320,5279,30.84,909,915,54,33,93487,FALSE,FALSE,FALSE
50,black,stockfish,61,2,3,5382,54547.6,99,5382,0,0,5360,3896,2725,26.52,259,259,30,34.5,54612.3,FALSE,FALSE,FALSE
