game_index,ai_color,result,plies,sf_depth,ai_depth,ai_nodes,ai_time_ms,ai_nps,tt_probes,tt_hits,tt_hit_rate,tt_stores,beta_cutoffs,first_move_cutoffs,avg_branch,killer_uses,history_uses,ai_moves,sf_time_ms,game_wall_ms,did_castle,did_en_passant,did_promotion
1,white,stockfish,48,2,3,4774,49177.1,97,4774,0,0,4770,3564,2332,38.64,230,231,24,25.4,49221.5,TRUE,FALSE,FALSE
2,black,Draw (Three-Fold Repetetion),105,2,3,8420,57722.7,146,8420,26,0.3,8386,6443,5068,25.44,1733,1738,52,31.2,57794.6,TRUE,FALSE,TRUE
3,white,Draw (Three-Fold Repetetion),76,2,3,6753,53416.1,126,6753,11,0.2,6735,4989,3925,27.24,935,957,38,32.6,53478,FALSE,FALSE,FALSE
4,black,Draw (Three-Fold Repetetion),174,2,3,12941,98065.5,132,12941,2,0,12934,9541,7851,25.88,2848,2899,87,56.4,98184.1,TRUE,FALSE,FALSE
5,white,Draw (Three-Fold Repetetion),82,2,3,7381,54312.7,136,7381,3,0,7371,5612,4221,27.91,851,858,41,29.3,54371.6,FALSE,FALSE,FALSE
6,black,Draw (Three-Fold Repetetion),60,2,3,8846,80202.7,110,8846,16,0.2,8824,6765,4161,38.58,123,123,30,20.7,80247.8,TRUE,FALSE,FALSE
7,white,Draw (Three-Fold Repetetion),94,2,3,11445,77720.3,147,11445,0,0,11437,8388,5512,32.89,545,549,47,28.2,77785,TRUE,FALSE,FALSE
8,black,Draw (Three-Fold Repetetion),95,2,3,6874,53939.9,127,6874,4,0.1,6862,5239,4110,27.21,1297,1315,47,30.2,54006.7,TRUE,FALSE,FALSE
9,white,stockfish,58,2,3,6607,51893,127,6607,2,0,6580,4944,3663,31.61,451,452,29,18.4,51932.5,FALSE,FALSE,FALSE
10,black,stockfish,125,2,3,9003,70003.7,129,9003,2,0,8999,6769,5595,28,1732,1749,62,40.5,70091.3,TRUE,FALSE,TRUE
