game_index,ai_color,result,plies,sf_depth,ai_depth,ai_nodes,ai_time_ms,ai_nps,tt_probes,tt_hits,tt_hit_rate,tt_stores,beta_cutoffs,first_move_cutoffs,avg_branch,killer_uses,history_uses,ai_moves,sf_time_ms,game_wall_ms,did_castle,did_en_passant,did_promotion
29,white,Draw (Fifty Move Draw),288,3,4,105939,614739.1,172,105939,15111,14.3,91001,88248,62867,27.7,28002,29123,144,282.4,615116.2,TRUE,FALSE,TRUE
30,black,Draw (Three-Fold Repetetion),104,3,4,94289,629210.5,150,94289,12397,13.1,81951,82348,58559,34.15,15670,16090,52,99.5,629358.5,TRUE,FALSE,FALSE
31,white,Draw (Three-Fold Repetetion),110,3,4,84375,522644,161,84375,11453,13.6,73050,71101,51044,35.45,13925,14401,55,70.4,522754.9,TRUE,FALSE,FALSE
32,white,Draw (Three-Fold Repetetion),98,3,4,105567,1113827.5,95,105567,10047,9.5,95954,92369,64222,35.61,9809,10133,49,101.3,1113988.4,TRUE,FALSE,FALSE
33,black,Draw (Three-Fold Repetetion),121,3,4,83514,625599.3,133,83514,9769,11.7,74118,71196,49161,33.17,6454,6779,60,91.1,625737.8,TRUE,FALSE,FALSE
34,white,ai,201,3,4,90769,435201.1,209,90769,12224,13.5,78159,83076,66282,23.51,26964,28736,101,66.8,435331.5,TRUE,TRUE,FALSE
35,black,Draw (Three-Fold Repetetion),120,3,4,132041,904280,146,132041,17587,13.3,114822,117556,82622,38.64,6037,6372,60,53.7,904377.6,TRUE,FALSE,FALSE
36,white,ai,163,3,4,127663,645849.3,198,127663,19156,15,108599,115009,86047,27.75,27842,29639,82,69.5,645972.9,TRUE,FALSE,TRUE
37,black,ai,244,3,4,79656,452631.4,176,79656,11559,14.5,67729,71895,52812,25.76,17261,18201,122,91.6,452807,TRUE,FALSE,TRUE
38,white,ai,27,3,4,18292,112070.4,163,18292,1681,9.2,16331,16784,13866,30.09,2821,2990,14,10.8,112091.1,TRUE,FALSE,FALSE
39,black,Draw (Three-Fold Repetetion),63,3,4,55000,418200.9,132,55000,3776,6.9,51297,46676,36328,41.45,1995,2060,31,38.2,418263.6,TRUE,FALSE,FALSE
40,white,Draw (Three-Fold Repetetion),132,3,4,88673,549783.3,161,88673,8298,9.4,80537,75230,53501,33.41,14649,15145,66,71.2,549908.2,TRUE,FALSE,FALSE
41,black,stockfish,139,3,4,74265,456300.6,163,74265,8611,11.6,65868,63568,45842,32.16,6738,7056,69,56.4,456400.6,FALSE,FALSE,TRUE
42,white,Draw (Three-Fold Repetetion),133,3,4,103277,649758.1,159,103277,12595,12.2,90996,88095,62676,35.33,16036,16618,67,66.5,649868.7,TRUE,FALSE,FALSE
43,black,Draw (Three-Fold Repetetion),226,3,4,92667,598166,155,92667,13688,14.8,79266,76637,53465,31.53,12980,14035,113,116.3,598369.2,FALSE,FALSE,FALSE
44,white,Draw (Three-Fold Repetetion),114,3,4,114859,714254.4,161,114859,14498,12.6,100591,103147,76661,34.34,8716,8962,57,58.3,714351.6,TRUE,FALSE,FALSE
45,black,Draw (Three-Fold Repetetion),65,3,4,62658,389010.8,161,62658,7134,11.4,55750,55082,38399,38.74,9382,9665,32,32.7,389065.7,TRUE,FALSE,TRUE
46,white,Draw (Three-Fold Repetetion),102,3,4,76572,529541.9,145,76572,8370,10.9,68299,65778,49701,32.42,13556,13911,51,86.5,529670.3,TRUE,FALSE,FALSE
47,black,Draw (Three-Fold Repetetion),100,3,4,99449,686654.3,145,99449,11896,12,87758,85062,57094,38.07,4885,5081,50,70.8,686763,FALSE,FALSE,FALSE
48,white,Draw (Three-Fold Repetetion),91,3,4,91098,518385.4,176,91098,9797,10.8,81494,80701,58972,33.43,18367,18802,46,43.5,518459.7,TRUE,FALSE,FALSE
49,black,Draw (Three-Fold Repetetion),127,3,4,67840,446938.6,152,67840,6468,9.5,61669,56726,43488,35.25,9182,9454,63,78.9,447062.3,FALSE,FALSE,FALSE
50,white,ai,55,3,4,72342,493665.7,147,72342,8853,12.2,63823,65139,42535,38.42,6002,6132,28,49,493741.1,TRUE,FALSE,FALSE
