game_index,ai_color,result,plies,sf_depth,ai_depth,ai_nodes,ai_time_ms,ai_nps,tt_probes,tt_hits,tt_hit_rate,tt_stores,beta_cutoffs,first_move_cutoffs,avg_branch,killer_uses,history_uses,ai_moves,sf_time_ms,game_wall_ms,did_castle,did_en_passant,did_promotion
1,white,Draw (Three-Fold Repetetion),96,3,4,94933,530620.5,179,94933,15820,16.7,79267,85613,58123,32.12,17425,17980,48,40.9,530693.5,TRUE,FALSE,FALSE
2,black,Draw (Three-Fold Repetetion),74,3,4,51603,345924.6,149,51603,4046,7.8,47648,43589,32212,34.79,3046,3144,37,24.8,345975.2,TRUE,FALSE,FALSE
3,white,Draw (Three-Fold Repetetion),164,3,4,103735,621631.2,167,103735,12337,11.9,91648,89963,63199,33.17,16883,17872,82,67.6,621751.6,TRUE,FALSE,FALSE
4,black,Draw (Three-Fold Repetetion),86,3,4,56668,343669.6,165,56668,7345,13,49417,47731,33728,34.59,5423,5629,43,35,343733,TRUE,FALSE,FALSE
5,white,Draw (Three-Fold Repetetion),130,3,4,116226,793010,147,116226,13814,11.9,102751,100745,73795,36.24,15162,15652,65,71.6,793131.7,TRUE,FALSE,FALSE
6,black,ai,92,3,4,73129,475023,154,73129,9344,12.8,63887,65582,51212,28.8,13947,14528,46,42.2,475105.1,FALSE,FALSE,FALSE
7,white,Draw (Three-Fold Repetetion),123,3,4,51588,348319.3,148,51588,4915,9.5,46632,44899,36616,31.91,6508,6741,62,55.9,348420.9,TRUE,FALSE,FALSE
8,black,Draw (Three-Fold Repetetion),238,3,4,104643,709156.4,148,104643,14469,13.8,90181,86603,58271,31.03,15085,16075,119,98.8,709344.7,TRUE,TRUE,TRUE
9,white,ai,51,3,4,46319,307781.6,150,46319,5055,10.9,41224,42875,35406,25.65,13024,13412,26,20.1,307821.3,TRUE,TRUE,FALSE
10,black,Draw (Three-Fold Repetetion),140,3,4,97272,632433.3,154,97272,15508,15.9,82168,83273,55669,32.71,15561,16282,70,65.5,632550.5,TRUE,FALSE,TRUE
11,white,Draw (Three-Fold Repetetion),117,3,4,82830,512336.3,162,82830,9279,11.2,73805,70010,52263,30.34,10065,10527,59,60.8,512439,TRUE,TRUE,FALSE
12,black,Draw (Three-Fold Repetetion),60,3,4,52748,334011.1,158,52748,6955,13.2,45835,46955,33947,30.9,15884,16408,30,35.2,334072.4,FALSE,FALSE,FALSE
13,white,Draw (Three-Fold Repetetion),148,3,4,81431,539686.8,151,81431,10240,12.6,71313,71380,53818,29.35,15593,16093,74,85.3,539830.7,FALSE,TRUE,TRUE
14,black,stockfish,93,3,4,70323,522025.9,135,70323,8647,12.3,61932,61560,44621,38.41,6039,6274,46,70.6,522133.5,TRUE,FALSE,TRUE
15,white,Draw (Three-Fold Repetetion),95,3,4,82095,708300.1,116,82095,7992,9.7,74211,72751,53822,31.22,12267,12763,48,105.3,708451.2,TRUE,FALSE,FALSE
16,black,Draw (Three-Fold Repetetion),108,3,4,84237,585579.5,144,84237,8633,10.2,75810,71687,50162,34.57,8019,8269,54,84.6,585704.7,TRUE,FALSE,FALSE
17,white,Draw (Three-Fold Repetetion),113,3,4,93284,576944.3,162,93284,11804,12.7,81583,82258,62050,30.11,15665,16185,57,57.2,577041.2,TRUE,FALSE,FALSE
18,black,Draw (Three-Fold Repetetion),81,3,4,73515,497569,148,73515,9638,13.1,64031,65306,46168,33.27,12358,12625,40,42.5,497644.7,TRUE,FALSE,FALSE
19,white,Draw (Three-Fold Repetetion),69,3,4,57517,354478.2,162,57517,7436,12.9,50174,51521,38215,33.76,9453,9653,35,37,354540.2,TRUE,FALSE,FALSE
20,black,Draw (Three-Fold Repetetion),260,3,4,67602,478949.8,141,67602,6632,9.8,61170,53615,39417,31.34,11612,12181,130,127.2,479165.2,FALSE,FALSE,TRUE
21,white,Draw (Three-Fold Repetetion),221,3,4,79853,529731.4,151,79853,9355,11.7,70818,64593,46739,28.88,11446,11947,111,101.5,529906.9,TRUE,FALSE,TRUE
22,black,Draw (Three-Fold Repetetion),107,3,4,73317,493888.2,148,73317,10227,13.9,63452,61634,37540,32.31,16222,16804,53,55.7,493985,FALSE,FALSE,FALSE
23,white,Draw (Three-Fold Repetetion),80,3,4,66475,426521.9,156,66475,7800,11.7,58803,56054,39324,33.77,9953,10214,40,50.3,426609.2,FALSE,FALSE,FALSE
24,black,Draw (Three-Fold Repetetion),67,3,4,44348,249213.6,178,44348,5969,13.5,38449,38089,28253,30.17,10083,10342,33,29.6,249269.6,FALSE,FALSE,FALSE
25,white,stockfish,110,3,4,72189,446570.5,162,72189,9699,13.4,62777,61023,39794,35.33,6998,7288,55,56.3,446663.5,TRUE,FALSE,FALSE
26,black,stockfish,171,3,4,123918,791670.9,157,123918,19687,15.9,104645,108559,73336,34.86,13314,13760,85,126,791870.9,FALSE,FALSE,TRUE
27,white,Draw (Three-Fold Repetetion),106,3,4,68799,521591.7,132,68799,7715,11.2,61268,59077,41443,31.01,7968,8220,53,149.3,521799.1,TRUE,FALSE,TRUE
28,black,Draw (Three-Fold Repetetion),82,3,4,46324,328124.8,141,46324,5528,11.9,41006,38943,29208,29.62,4377,4601,41,165.9,328332.1,FALSE,FALSE,FALSE
